drug_name,side_effects,medical_condition,rating
Acnex,"along with its needed effects, a medicine may cause some unwanted effects although not all of these side effects may occur, if they do occur they may need medical attention check with your doctor immediately if any of the following side effects occur less common or rare skin irritation not present before use of this medicine moderate or severe incidence not known difficult breathing dryness and peeling of skin fainting hives or itching redness of the skin swelling of the eyes, face, lips, or tongue tightness in the throat unusually warm skin symptoms of overdose confusion diarrhea dizziness fast or deep breathing headache severe or continuing hearing loss lightheadedness nausea rapid breathing ringing or buzzing in the ears continuing severe drowsiness stomach pain vomiting some side effects may occur that usually do not need medical attention these side effects may go away during treatment as your body adjusts to the medicine also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them more common skin irritation not present before use of this medicine mild stinging other side effects not listed may also occur in some patients if you notice any other effects, check with your healthcare professional call your doctor for medical advice about side effects you may report side effects to the fda at 1800fda1088 acnex side effects",Acne,10.0
Acnomel,"along with its needed effects, a medicine may cause some unwanted effects although not all of these side effects may occur, if they do occur they may need medical attention check with your doctor as soon as possible if any of the following side effects occur less common or rare skin irritation not present before use of this medicine symptoms of resorcinol poisoning diarrhea, nausea, stomach pain, or vomiting dizziness drowsiness headache severe or continuing nervousness or restlessness slow heartbeat, shortness of breath, or troubled breathing sweating unusual tiredness or weakness some side effects may occur that usually do not need medical attention these side effects may go away during treatment as your body adjusts to the medicine also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them more common redness and peeling of skin may occur after a few days less common unusual dryness of skin other side effects not listed may also occur in some patients if you notice any other effects, check with your healthcare professional call your doctor for medical advice about side effects you may report side effects to the fda at 1800fda1088 acnomel side effects",Acne,5.0
Acthar,"warningcaution even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect signs of an allergic reaction, like rash hives  itching red, swollen, blistered, or peeling skin with or without fever wheezing tightness in the chest or throat trouble breathing, swallowing, or talking unusual hoarseness or swelling of the mouth, face, lips, tongue, or throat signs of infection like fever, chills, very bad sore throat , ear or sinus pain, cough, more sputum or change in color of sputum, pain with passing urine, mouth sores, or wound that will not heal signs of high blood sugar like confusion, feeling sleepy, more thirst, more hungry, passing urine more often, flushing, fast breathing, or breath that smells like fruit signs of a weak adrenal gland like a very bad upset stomach or throwing up, very bad dizziness or passing out, muscle weakness, feeling very tired, mood changes, not hungry, or weight loss  signs of cushings disease like weight gain in the upper back or belly, moon face, very bad headache , or slow healing signs of high or low blood pressure like very bad headache or dizziness, passing out, or change in eyesight signs of low potassium levels like muscle pain or weakness, muscle cramps, or a heartbeat that does not feel normal shortness of breath, a big weight gain, or swelling in the arms or legs stomach pain black, tarry, or bloody stools throwing up blood or throw up that looks like coffee grounds change in eyesight mental, mood, or behavior changes that are new or worse bone or joint pain seizures  acthar side effects",Allergies,5.0
Acticlate,"warningcaution even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect signs of an allergic reaction, like rash hives  itching red, swollen, blistered, or peeling skin with or without fever wheezing tightness in the chest or throat trouble breathing, swallowing, or talking unusual hoarseness or swelling of the mouth, face, lips, tongue, or throat signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, lightcolored stools, throwing up, or yellow skin or eyes signs of a pancreas problem  pancreatitis  like very bad stomach pain, very bad back pain , or very bad upset stomach or throwing up chest pain or pressure or a fast heartbeat  not able to pass urine or change in how much urine is passed fever, chills, or sore throat  any unexplained bruising or bleeding or feeling very tired or weak throat irritation trouble swallowing muscle or joint pain fast breathing flushing very bad dizziness or passing out change in skin color swollen gland vaginal itching or discharge diarrhea is common with antibiotics  rarely, a severe form called c diffassociated diarrhea  cdad  may happen sometimes, this has led to a deadly bowel problem  colitis  cdad may happen during or a few months after taking antibiotics call your doctor right away if you have stomach pain, cramps, or very loose, watery, or bloody stools check with your doctor before treating diarrhea raised pressure in the brain has happened with acticlate doxycycline tablets and capsules most of the time, this will go back to normal after acticlate doxycycline tablets and capsules is stopped sometimes, loss of eyesight may happen and may not go away even after acticlate doxycycline tablets and capsules is stopped call your doctor right away if you have a headache or eyesight problems like blurred eyesight, seeing double, or loss of eyesight acticlate side effects",Acne,5.7
Actiq,"hives  difficult breathing swelling of your face, lips, tongue, or throat like other narcotic medicines, fentanyl can slow your breathing death may occur if breathing becomes too weak remove the actiq unit from your mouth and call your doctor at once if you have slow heart rate, sighing, shallow breathing, breathing that stops during sleep severe drowsiness, feeling like you might pass out dizziness or an upset stomach before the medicine has completely dissolved confusion, extreme fear, unusual thoughts or behavior or low cortisol levels  nausea, vomiting, loss of appetite, dizziness, worsening tiredness or weakness seek medical attention right away if you have symptoms of serotonin syndrome, such as agitation , hallucinations, fever , sweating , shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting , or diarrhea  serious side effects may be more likely in older adults and those who are overweight , malnourished, or debilitated longterm use of opioid medication may affect fertility ability to have children in men or women it is not known whether opioid effects on fertility are permanent common actiq side effects may include dizziness, mild drowsiness, depressed mood sleep problems  insomnia  headache , weakness, anxiety  nausea, vomiting, constipation  or mild rash ",Pain,9.6
ActoPlus Met,"hives  difficult breathing swelling of your face, lips, tongue, or throat some people using actoplus met develop lactic acidosis, which can be fatal get emergency medical help if you have even mild symptoms such as unusual muscle pain feeling cold trouble breathing feeling dizzy, lightheaded, tired, or very weak stomach pain, vomiting  or slow or irregular heart rate call your doctor at once if you have pink or red urine, painful or difficult urination, new or worsening urge to urinate changes in your vision heart problems  swelling, rapid weight gain, feeling short of breath liver problems  loss of appetite, nausea, vomiting, stomach pain, tiredness, dark urine, jaundice yellowing of the skin or eyes or low red blood cells anemia  pale skin, unusual tiredness, feeling lightheaded or short of breath, cold hands and feet common actoplus met side effects may include headache weight gain diarrhea  or cold symptoms such as stuffy nose, sinus pain, sneezing, sore throat ",Diabetes (Type 2),7.2
Actonel,"chest pain, new or worsening heartburn difficulty or pain when swallowing pain or burning under the ribs or in the back severe heartburn, burning pain in your upper stomach, or coughing up blood new or unusual pain in your thigh or hip jaw pain, numbness, or swelling severe joint, bone, or muscle pain or low calcium levels  muscle spasms or contractions, numbness or tingly feeling around your mouth, or in your fingers and toes common actonel side effects may include heartburn, diarrhea, indigestion stomach pain back pain, joint pain, muscle pain or flulike symptoms",Osteoporosis,3.1
Actos,"hives  difficult breathing swelling of your face, lips, tongue, or throat stop using actos and call your doctor at once if you have symptoms of liver damage  nausea, upper stomach pain, itching, loss of appetite, dark urine, claycolored stools, or jaundice yellowing of the skin or eyes call your doctor at once if you have shortness of breath especially when lying down, unusual tiredness, swelling, rapid weight gain pink or red urine, painful or difficult urination, new or worsening urge to urinate changes in your vision or sudden unusual pain in your hand, arm, or foot some people taking this medicine have had bladder cancer, but it is not clear if pioglitazone was the actual cause common actos side effects may include headache muscle pain or cold symptoms such as stuffy nose, sinus pain, sneezing, sore throat ",Diabetes (Type 2),4.9
Aczone,"hives difficult breathing swelling of your face, lips, tongue, or throat aczone may cause methemoglobinemia metheemoh globineemeea, a serious condition in which the amount of oxygen in your blood stream becomes dangerously low stop using this medicine and call your doctor at once if you notice a blue or gray appearance of your lips, fingernails, or the inside of your mouth call your doctor at once if you have severe sore throat unusual thoughts or behavior a red blood cell disorder  back pain, pale or yellowed skin, dark colored urine, fever, confusion or weakness pancreas problems  severe pain in your upper stomach spreading to your back, nausea and vomiting, fast heart rate or severe skin reaction  fever, sore throat, swelling in your face or tongue, burning in your eyes, skin pain followed by a red or purple skin rash that spreads especially in the face or upper body and causes blistering and peeling common aczone side effects may include dry or peeling skin oily skin or redness where the medicine was applied",Acne,7.4
Adalat CC,"worsening chest pain pounding heartbeats or fluttering in your chest a lightheaded feeling, like you might pass out swelling in your hands or lower legs or upper stomach pain, jaundice yellowing of the skin or eyes you may have more severe or more frequent episodes of angina when you first start taking adalat cc or whenever your dose is changed common adalat cc side effects may include swelling flushing warmth, redness, or tingly feeling headache , dizziness nausea , heartburn  or feeling weak or tired",Hypertension,7.5
Adderall,"hives difficult breathing swelling of your face, lips, tongue, or throat adderall may cause serious side effects call your doctor at once if you have signs of heart problems  chest pain, trouble breathing, feeling like you might pass out signs of psychosis  hallucinations seeing or hearing things that are not real, new behavior problems, aggression, hostility, paranoia signs of circulation problems  numbness, pain, cold feeling, unexplained wounds, or skin color changes pale, red, or blue appearance in your fingers or toes a seizure convulsions muscle twitches tics or changes in your vision seek medical attention right away if you have symptoms of serotonin syndrome, such as agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea adderall can affect growth in children tell your doctor if your child is not growing at a normal rate while using this medicine common side effects of adderall may include stomach pain loss of appetite weight loss mood changes feeling nervous fast heart rate headache dizziness sleep problems insomnia or dry mouth",ADHD,7.4
Adderall XR,"hives  difficult breathing swelling of your face, lips, tongue, or throat adderall xr may cause serious side effects call your doctor at once if you have signs of heart problemschest pain, trouble breathing, feeling like you might pass out signs of psychosishallucinations seeing or hearing things that are not real, new behavior problems, aggression, hostility, paranoia signs of circulation problemsnumbness, pain, cold feeling, unexplained wounds, or skin color changes pale, red, or blue appearance in your fingers or toes a seizure convulsions muscle twitches tics or changes in your vision seek medical attention right away if you have symptoms of serotonin syndrome, such as agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea longterm use of stimulant medicine can affect growth in children tell your doctor if your child is not growing at a normal rate while using this medicine common side effects of adderall xr may include stomach pain, nausea, loss of appetite weight loss  mood changes, feeling nervous or irritable fast heart rate headache , dizziness  sleep problems  insomnia  or dry mouth",ADHD,7.9
Adipex-P,"hives  difficult breathing swelling of your face, lips, tongue, or throat call your doctor at once if you have feeling short of breath, even with mild exertion chest pain, feeling like you might pass out swelling in your ankles or feet pounding heartbeats or fluttering in your chest unusual changes in mood or behavior or severe headache , blurred vision, pounding in your neck or ears, anxiety , nosebleed common adipexp side effects may include restlessness, tremors trouble sleeping dizziness , headache dry mouth, unpleasant taste diarrhea, constipation , stomach pain itching or increased or decreased interest in sex",Weight Loss,8.9
Admelog,"redness or swelling where an injection was given, itchy skin rash over the entire body, trouble breathing, fast heartbeats, feeling like you might pass out, or swelling in your tongue or throat call your doctor at once if you have weight gain, swelling in your hands or feet, feeling short of breath low blood sugar headache , hunger, sweating, irritability, dizziness , fast heart rate , and feeling anxious or shaky or low potassium leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling common admelog side effects may include low blood sugar weight gain swelling in your hands or feet itching or thickening or hollowing of the skin where you injected the medicine",Diabetes (Type 1),2.0
Adoxa,"warningcaution even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect signs of an allergic reaction, like rash hives  itching red, swollen, blistered, or peeling skin with or without fever wheezing tightness in the chest or throat trouble breathing, swallowing, or talking unusual hoarseness or swelling of the mouth, face, lips, tongue, or throat signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, lightcolored stools, throwing up, or yellow skin or eyes signs of a pancreas problem  pancreatitis  like very bad stomach pain, very bad back pain , or very bad upset stomach or throwing up chest pain or pressure or a fast heartbeat  not able to pass urine or change in how much urine is passed fever, chills, or sore throat  any unexplained bruising or bleeding or feeling very tired or weak throat irritation trouble swallowing muscle or joint pain fast breathing flushing very bad dizziness or passing out change in skin color swollen gland vaginal itching or discharge diarrhea is common with antibiotics  rarely, a severe form called c diffassociated diarrhea  cdad  may happen sometimes, this has led to a deadly bowel problem  colitis  cdad may happen during or a few months after taking antibiotics call your doctor right away if you have stomach pain, cramps, or very loose, watery, or bloody stools check with your doctor before treating diarrhea raised pressure in the brain has happened with adoxa doxycycline tablets and capsules most of the time, this will go back to normal after adoxa doxycycline tablets and capsules is stopped sometimes, loss of eyesight may happen and may not go away even after adoxa doxycycline tablets and capsules is stopped call your doctor right away if you have a headache or eyesight problems like blurred eyesight, seeing double, or loss of eyesight adoxa side effects",Acne,8.8
Advil,"chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, leg swelling, feeling short of breath stop using advil and call your doctor at once if you have changes in your vision shortness of breath even with mild exertion swelling or rapid weight gain a skin rash, no matter how mild signs of stomach bleeding  bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds liver problems  nausea, upper stomach pain, itching, tired feeling, flulike symptoms, loss of appetite, dark urine, claycolored stools, jaundice yellowing of the skin or eyes low red blood cells anemia  pale skin, feeling lightheaded or short of breath, rapid heart rate, trouble concentrating or kidney problems  little or no urinating, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath common advil side effects may include nausea, vomiting, gas bleeding or dizziness , headache",Osteoarthritis,1.0
Advil PM,"chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, leg swelling, feeling short of breath this medicine may cause serious side effects stop using this medicine and call your doctor at once if you have any skin rash, no matter how mild a lightheaded feeling, like you might pass out signs of stomach bleedingbloody or tarry stools, coughing up blood or vomit that looks like coffee grounds kidney problemslittle or no urinating, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath or liver problems nausea , upper stomach pain, itching, tired feeling, flulike symptoms, loss of appetite, dark urine, claycolored stools, jaundice yellowing of the skin or eyes common side effects of advil pm may include drowsiness daytime drowsiness, dizziness , hangover feeling upset stomach , heartburn , diarrhea , constipation  dry mouth, nose, or throat blurred vision mild itching or rash or ringing in your ears",Insomnia,6.9
Adzenys ER,"hives  difficult breathing swelling of your face, lips, tongue, or throat adzenys er may cause serious side effects call your doctor at once if you have signs of heart problemschest pain, trouble breathing, feeling like you might pass out signs of psychosishallucinations seeing or hearing things that are not real, new behavior problems, aggression, hostility, paranoia signs of circulation problems numbness , pain, cold feeling, unexplained wounds, or skin color changes pale, red, or blue appearance in your fingers or toes a seizure convulsions muscle twitches tics pain or burning when you urinate or changes in your vision seek medical attention right away if you have symptoms of serotonin syndrome, such as agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea adzenys er can affect growth tell your doctor if your child is not growing at a normal rate common side effects of adzenys er may include increased heart rate mood changes, anxiety , feeling restless or nervous trouble sleeping dry mouth, stomach pain, nausea, vomiting, diarrhea, constipation  loss of appetite, weight loss  painful urination sexual problems, impotence  headache , dizziness  fever, weakness or itching",ADHD,8.0
Adzenys XR-ODT,"hives  difficult breathing swelling of your face, lips, tongue, or throat adzenys xrodt may cause serious side effects call your doctor at once if you have signs of heart problemschest pain, trouble breathing, feeling like you might pass out signs of psychosishallucinations seeing or hearing things that are not real, new behavior problems, aggression, hostility, paranoia signs of circulation problems numbness , pain, cold feeling, unexplained wounds, or skin color changes pale, red, or blue appearance in your fingers or toes a seizure convulsions muscle twitches tics pain or burning when you urinate or changes in your vision seek medical attention right away if you have symptoms of serotonin syndrome, such as agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea adzenys xrodt can affect growth tell your doctor if your child is not growing at a normal rate common side effects of adzenys xrodt may include increased heart rate mood changes, anxiety , feeling restless or nervous trouble sleeping dry mouth, stomach pain, nausea, vomiting, diarrhea, constipation  loss of appetite, weight loss  painful urination sexual problems, impotence  headache , dizziness  fever, weakness or itching",ADHD,6.1
Afeditab CR,"along with its needed effects, a medicine may cause some unwanted effects although not all of these side effects may occur, if they do occur they may need medical attention check with your doctor immediately if any of the following side effects occur more common bloating or swelling of the face, arms, hands, lower legs, or feet cough difficult or labored breathing dizziness or lightheadedness fast, irregular, pounding, or racing heartbeat or pulse feeling of warmth headache muscle cramps rapid weight gain shakiness in the legs, arms, hands, or feet shortness of breath tightness in the chest tingling of the hands or feet trembling or shaking of the hands or feet unusual weight gain or loss weakness wheezing less common blue lips and fingernails chest congestion chest pain chills coughing that sometimes produces a pink frothy sputum decreased urine output difficult, fast, or noisy breathing, sometimes with wheezing dilated neck veins extreme fatigue fever increased sweating irregular breathing nausea pain or discomfort in the arms, jaw, back, or neck pale skin severe unusual tiredness or weakness sweating troubled breathing vomiting rare black, tarry stools bleeding gums blood in the eyes blood in the urine or stools bloody stools bluish color blurred vision body aches or pain changes in skin color cold sweats dark urine difficulty with swallowing dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position dry mouth dryness or soreness of throat ear congestion or pain extra heartbeats eye pain feeling unusually cold general tiredness and weakness headache, severe and throbbing hoarseness increased urge to urinate during the night irritation in the mouth itching large, hivelike swelling on face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs lightcolored stools nasal congestion neck pain nervousness no blood pressure or pulse noisy breathing pain pain in the groin or genitals pain or burning while urinating painful or difficult urination pinpoint red spots on the skin puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue redness and swelling of the gums redness in the whites of the eyes runny nose shakiness and unsteady walk sharp back pain just below ribs shivering skin rash small clicking, bubbling, or rattling sounds in the lung when listening with a stethoscope sneezing sore throat sores, ulcers, or white spots on the lips or in the mouth stopping of heart swelling around the eyes swollen glands tenderness tender, swollen glands in the neck troubled breathing with exertion unconsciousness unsteadiness, trembling, or other problems with muscle control or coordination unusual bleeding or bruising upper right abdominal or stomach pain vision changes voice changes vomiting of blood or material that looks like coffee grounds waking to urinate at night yellow eyes and skin some side effects may occur that usually do not need medical attention these side effects may go away during treatment as your body adjusts to the medicine also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them more common belching feeling of indigestion mood changes pain in the chest below the breastbone redness of the face, neck, arms, and occasionally, upper chest less common abnormal ejaculation bloody nose burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings decreased interest in sexual intercourse decreased sexual performance or desire diarrhea difficulty having a bowel movement stool excess air or gas in stomach or intestines feeling of constant movement of self or surroundings full feeling general feeling of discomfort or illness inability to have or keep an erection increased need to urinate joint stiffness leg cramps or pain loss in sexual ability, desire, drive, or performance nervousness passing gas passing urine more often sneezing stuffy nose trouble sleeping rare acid or sour stomach ankle, knee, or great toe joint pain cracks in the skin difficulty with moving discouragement excessive muscle tone fear or nervousness feeling sad or empty hair loss or thinning of the hair heartburn increased sensitivity of the skin to sunlight irritability itching, pain, redness, swelling, tenderness, or warmth on the skin lack of appetite lack or loss of strength loss of heat from the body loss of interest or pleasure loss of strength or energy loss in sexual ability, desire, drive, or performance lower back or side pain muscle pain or weakness muscle stiffness muscle tension or tightness pain or burning in the throat red, swollen skin redness or other discoloration of the skin scaly skin severe sunburn sleepiness or unusual drowsiness sleeplessness stomach discomfort, upset, or pain swelling of the breasts or breast soreness in both females and males tiredness trouble concentrating unable to sleep other side effects not listed may also occur in some patients if you notice any other effects, check with your healthcare professional call your doctor for medical advice about side effects you may report side effects to the fda at 1800fda1088 afeditab cr side effects",Hypertension,8.0
